"schoolid" "sex" "pped" "rgi"
"1" 10101 0 1 0
"2" 10101 0 1 0
"3" 10101 0 1 0
"4" 10101 0 1 0
"5" 10101 0 1 0
"6" 10101 0 1 0
"7" 10101 0 1 0
"8" 10101 0 1 0
"9" 10101 0 1 0
"10" 10101 0 1 0
"11" 10101 0 1 0
"12" 10101 0 1 0
"13" 10101 0 1 0
"14" 10101 0 1 0
"15" 10101 0 1 0
"16" 10101 1 1 0
"17" 10101 1 1 0
"18" 10101 1 1 0
"19" 10101 1 1 0
"20" 10102 0 0 0
"21" 10102 0 1 0
"22" 10102 0 1 0
"23" 10102 0 1 0
"24" 10102 0 1 0
"25" 10102 0 1 0
"26" 10102 0 1 0
"27" 10102 0 1 0
"28" 10102 0 1 0
"29" 10102 0 1 0
"30" 10102 0 1 0
"31" 10102 1 1 0
"32" 10102 1 1 0
"33" 10102 1 1 0
"34" 10102 1 1 0
"35" 10102 1 1 0
"36" 10102 1 1 0
"37" 10102 1 1 0
"38" 10102 1 1 0
"39" 10102 1 1 0
"40" 10102 1 1 0
"41" 10102 1 1 0
"42" 10102 1 1 0
"43" 10102 1 1 0
"44" 10103 0 0 0
"45" 10103 0 0 0
"46" 10103 0 1 0
"47" 10103 0 1 0
"48" 10103 0 1 0
"49" 10103 0 1 0
"50" 10103 1 1 0
"51" 10103 1 1 0
"52" 10103 1 1 0
"53" 10103 1 1 0
"54" 10103 1 1 0
"55" 10103 1 1 0
"56" 10103 1 1 0
"57" 10103 1 1 0
"58" 10103 1 1 0
"59" 10103 1 1 0
"60" 10103 1 1 1
"61" 10104 0 0 0
"62" 10104 0 0 0
"63" 10104 0 0 0
"64" 10104 0 0 0
"65" 10104 0 0 0
"66" 10104 0 0 0
"67" 10104 0 0 0
"68" 10104 0 1 0
"69" 10104 0 1 0
"70" 10104 0 1 0
"71" 10104 0 1 0
"72" 10104 0 1 0
"73" 10104 0 1 0
"74" 10104 0 1 0
"75" 10104 0 1 0
"76" 10104 1 0 0
"77" 10104 1 0 0
"78" 10104 1 0 0
"79" 10104 1 0 0
"80" 10104 1 0 0
"81" 10104 1 0 0
"82" 10104 1 1 0
"83" 10104 1 1 0
"84" 10104 1 1 0
"85" 10104 1 1 0
"86" 10104 1 1 0
"87" 10104 1 1 0
"88" 10104 1 1 0
"89" 10104 1 1 0
"90" 10105 0 0 0
"91" 10105 0 0 0
"92" 10105 0 0 0
"93" 10105 0 1 0
"94" 10105 0 1 0
"95" 10105 0 1 0
"96" 10105 0 1 1
"97" 10105 0 1 1
"98" 10105 1 0 0
"99" 10105 1 0 0
"100" 10105 1 0 1
"101" 10105 1 1 0
"102" 10105 1 1 0
"103" 10105 1 1 0
"104" 10105 1 1 0
"105" 10105 1 1 0
"106" 10105 1 1 1
"107" 10105 1 1 1
"108" 10106 0 1 0
"109" 10106 0 1 0
"110" 10106 1 1 0
"111" 10106 1 1 0
"112" 10106 1 1 0
"113" 10107 0 0 0
"114" 10107 0 1 0
"115" 10107 0 1 0
"116" 10107 0 1 0
"117" 10107 0 1 0
"118" 10107 0 1 0
"119" 10107 0 1 0
"120" 10107 0 1 0
"121" 10107 0 1 1
"122" 10107 1 0 0
"123" 10107 1 0 1
"124" 10107 1 1 0
"125" 10107 1 1 0
"126" 10107 1 1 0
"127" 10107 1 1 0
"128" 10108 0 1 0
"129" 10108 0 1 0
"130" 10108 0 1 0
"131" 10108 0 1 0
"132" 10108 0 1 0
"133" 10108 0 1 0
"134" 10108 0 1 0
"135" 10108 0 1 0
"136" 10108 0 1 0
"137" 10108 0 1 0
"138" 10108 0 1 0
"139" 10108 0 1 1
"140" 10108 1 1 0
"141" 10108 1 1 0
"142" 10108 1 1 0
"143" 10108 1 1 0
"144" 10108 1 1 0
"145" 10108 1 1 1
"146" 10108 1 1 1
"147" 10109 0 1 0
"148" 10109 0 1 0
"149" 10109 0 1 0
"150" 10109 0 1 0
"151" 10109 0 1 0
"152" 10109 0 1 0
"153" 10109 0 1 0
"154" 10109 0 1 0
"155" 10109 0 1 1
"156" 10109 0 1 1
"157" 10109 0 1 1
"158" 10109 1 0 0
"159" 10109 1 0 0
"160" 10109 1 0 1
"161" 10109 1 1 0
"162" 10109 1 1 0
"163" 10109 1 1 1
"164" 10109 1 1 1
"165" 10109 1 1 1
"166" 10109 1 1 1
"167" 10109 1 1 1
"168" 10211 0 0 0
"169" 10211 0 0 0
"170" 10211 0 0 0
"171" 10211 0 1 0
"172" 10211 0 1 0
"173" 10211 0 1 0
"174" 10211 0 1 0
"175" 10211 0 1 0
"176" 10211 0 1 0
"177" 10211 0 1 0
"178" 10211 1 0 0
"179" 10211 1 0 0
"180" 10211 1 0 0
"181" 10211 1 0 0
"182" 10211 1 0 1
"183" 10211 1 1 0
"184" 10211 1 1 0
"185" 10211 1 1 0
"186" 10211 1 1 0
"187" 10211 1 1 0
"188" 10211 1 1 0
"189" 10211 1 1 0
"190" 10211 1 1 0
"191" 10211 1 1 0
"192" 10211 1 1 0
"193" 10312 0 0 0
"194" 10312 0 0 0
"195" 10312 0 0 0
"196" 10312 0 0 0
"197" 10312 0 0 0
"198" 10312 0 0 0
"199" 10312 1 0 0
"200" 10312 1 0 0
"201" 10312 1 0 0
"202" 10312 1 0 0
"203" 10312 1 0 0
"204" 10312 1 0 0
"205" 10313 0 0 0
"206" 10313 0 0 0
"207" 10313 0 0 0
"208" 10313 0 0 0
"209" 10313 0 0 0
"210" 10313 0 0 0
"211" 10313 0 0 0
"212" 10313 1 0 0
"213" 10313 1 0 0
"214" 10313 1 0 0
"215" 10313 1 0 0
"216" 10313 1 0 0
"217" 10313 1 0 0
"218" 10313 1 0 0
"219" 10314 0 0 0
"220" 10314 0 0 0
"221" 10314 0 0 0
"222" 10314 0 0 0
"223" 10314 0 0 0
"224" 10314 0 0 0
"225" 10314 0 0 0
"226" 10314 0 0 1
"227" 10314 1 0 0
"228" 10314 1 0 0
"229" 10314 1 0 0
"230" 10314 1 0 0
"231" 10314 1 0 0
"232" 10314 1 0 1
"233" 10314 1 0 1
"234" 10314 1 0 1
"235" 10314 1 0 1
"236" 10315 0 0 0
"237" 10315 0 0 0
"238" 10315 0 0 0
"239" 10315 0 0 1
"240" 10315 0 1 0
"241" 10315 0 1 0
"242" 10315 0 1 0
"243" 10315 0 1 0
"244" 10315 0 1 0
"245" 10315 0 1 0
"246" 10315 0 1 0
"247" 10315 1 0 0
"248" 10315 1 0 0
"249" 10315 1 0 0
"250" 10315 1 0 1
"251" 10315 1 0 1
"252" 10315 1 0 1
"253" 10315 1 0 1
"254" 10315 1 0 1
"255" 10315 1 1 0
"256" 10315 1 1 0
"257" 10315 1 1 1
"258" 10316 0 0 0
"259" 10316 0 0 0
"260" 10316 0 0 0
"261" 10316 0 0 0
"262" 10316 0 0 0
"263" 10316 0 0 0
"264" 10316 0 0 0
"265" 10316 0 0 0
"266" 10316 0 0 0
"267" 10316 1 0 0
"268" 10316 1 0 0
"269" 10316 1 0 0
"270" 10316 1 0 0
"271" 10316 1 0 0
"272" 10316 1 1 0
"273" 10418 0 1 0
"274" 10418 0 1 0
"275" 10418 0 1 0
"276" 10418 0 1 0
"277" 10418 0 1 0
"278" 10418 0 1 0
"279" 10418 0 1 0
"280" 10418 0 1 0
"281" 10418 0 1 0
"282" 10418 0 1 0
"283" 10418 0 1 0
"284" 10418 0 1 0
"285" 10418 0 1 0
"286" 10418 0 1 0
"287" 10418 1 0 0
"288" 10418 1 0 0
"289" 10418 1 1 0
"290" 10418 1 1 0
"291" 10418 1 1 0
"292" 10418 1 1 0
"293" 10418 1 1 0
"294" 10418 1 1 0
"295" 10418 1 1 0
"296" 10418 1 1 0
"297" 10418 1 1 0
"298" 10418 1 1 1
"299" 10419 0 0 0
"300" 10419 0 1 0
"301" 10419 0 1 0
"302" 10419 0 1 0
"303" 10419 0 1 0
"304" 10419 0 1 0
"305" 10419 0 1 0
"306" 10419 0 1 0
"307" 10419 0 1 0
"308" 10419 0 1 0
"309" 10419 0 1 0
"310" 10419 0 1 0
"311" 10419 0 1 0
"312" 10419 1 1 0
"313" 10419 1 1 0
"314" 10419 1 1 0
"315" 10419 1 1 0
"316" 10419 1 1 0
"317" 10419 1 1 0
"318" 10419 1 1 0
"319" 10419 1 1 0
"320" 10419 1 1 0
"321" 10419 1 1 0
"322" 10419 1 1 0
"323" 10419 1 1 0
"324" 20101 0 0 0
"325" 20101 0 0 0
"326" 20101 0 0 0
"327" 20101 0 0 0
"328" 20101 0 0 1
"329" 20101 1 0 0
"330" 20101 1 0 0
"331" 20101 1 0 0
"332" 20101 1 0 0
"333" 20101 1 0 0
"334" 20101 1 0 0
"335" 20101 1 0 1
"336" 20101 1 0 1
"337" 20101 1 0 1
"338" 20101 1 1 0
"339" 20101 1 1 0
"340" 20101 1 1 1
"341" 20102 0 0 0
"342" 20102 0 1 0
"343" 20102 0 1 0
"344" 20102 0 1 0
"345" 20102 0 1 0
"346" 20102 0 1 0
"347" 20102 0 1 0
"348" 20102 0 1 0
"349" 20102 0 1 0
"350" 20102 0 1 0
"351" 20102 0 1 0
"352" 20102 0 1 0
"353" 20102 0 1 0
"354" 20102 0 1 0
"355" 20102 1 0 0
"356" 20102 1 1 0
"357" 20102 1 1 0
"358" 20102 1 1 0
"359" 20102 1 1 0
"360" 20102 1 1 0
"361" 20102 1 1 0
"362" 20102 1 1 0
"363" 20102 1 1 0
"364" 20102 1 1 0
"365" 20102 1 1 0
"366" 20102 1 1 0
"367" 20102 1 1 0
"368" 20203 0 1 0
"369" 20203 0 1 0
"370" 20203 0 1 0
"371" 20203 0 1 0
"372" 20203 1 0 0
"373" 20203 1 0 0
"374" 20203 1 0 1
"375" 20203 1 1 0
"376" 20203 1 1 0
"377" 20203 1 1 0
"378" 20203 1 1 0
"379" 20203 1 1 0
"380" 20203 1 1 0
"381" 20203 1 1 1
"382" 20204 0 1 0
"383" 20204 0 1 0
"384" 20204 0 1 0
"385" 20204 0 1 0
"386" 20204 0 1 0
"387" 20204 1 1 0
"388" 20204 1 1 0
"389" 20204 1 1 0
"390" 20204 1 1 0
"391" 20204 1 1 0
"392" 20204 1 1 0
"393" 20204 1 1 0
"394" 20204 1 1 0
"395" 20204 1 1 0
"396" 20204 1 1 0
"397" 20204 1 1 0
"398" 20204 1 1 1
"399" 20205 0 0 0
"400" 20205 1 0 0
"401" 20205 1 0 1
"402" 20205 1 1 0
"403" 20205 1 1 0
"404" 20205 1 1 0
"405" 20205 1 1 0
"406" 20205 1 1 0
"407" 20205 1 1 0
"408" 20205 1 1 1
"409" 20205 1 1 1
"410" 20206 0 1 0
"411" 20206 0 1 0
"412" 20206 0 1 0
"413" 20206 0 1 0
"414" 20206 0 1 0
"415" 20206 0 1 0
"416" 20206 0 1 0
"417" 20206 0 1 1
"418" 20206 1 1 0
"419" 20206 1 1 0
"420" 20206 1 1 0
"421" 20206 1 1 0
"422" 20206 1 1 0
"423" 20206 1 1 0
"424" 20206 1 1 0
"425" 20206 1 1 1
"426" 20207 0 1 0
"427" 20207 0 1 0
"428" 20207 0 1 0
"429" 20207 0 1 0
"430" 20207 0 1 0
"431" 20207 0 1 0
"432" 20207 0 1 0
"433" 20207 0 1 0
"434" 20207 0 1 0
"435" 20207 0 1 0
"436" 20207 0 1 0
"437" 20207 0 1 1
"438" 20207 0 1 1
"439" 20207 0 1 1
"440" 20207 1 0 0
"441" 20207 1 1 0
"442" 20207 1 1 0
"443" 20207 1 1 0
"444" 20207 1 1 0
"445" 20207 1 1 0
"446" 20207 1 1 0
"447" 20207 1 1 0
"448" 20207 1 1 0
"449" 20207 1 1 0
"450" 20207 1 1 0
"451" 20207 1 1 1
"452" 20207 1 1 1
"453" 20207 1 1 1
"454" 20207 1 1 1
"455" 20207 1 1 1
"456" 20207 1 1 1
"457" 20308 0 1 0
"458" 20308 0 1 0
"459" 20308 0 1 0
"460" 20308 0 1 0
"461" 20308 0 1 0
"462" 20308 0 1 0
"463" 20308 0 1 0
"464" 20308 0 1 0
"465" 20308 0 1 0
"466" 20308 0 1 1
"467" 20308 0 1 1
"468" 20308 0 1 1
"469" 20308 1 1 0
"470" 20308 1 1 0
"471" 20308 1 1 1
"472" 20308 1 1 1
