"pclass" "survived" "sex" "embarked"
"1" 1 1 1 0
"2" 1 1 0 0
"3" 1 0 1 0
"4" 1 0 0 0
"5" 1 0 1 0
"6" 1 1 0 0
"7" 1 1 1 0
"8" 1 0 0 0
"9" 1 1 1 0
"10" 1 0 0 1
"11" 1 0 0 1
"12" 1 1 1 1
"13" 1 1 1 1
"14" 1 1 1 0
"15" 1 1 0 0
"16" 1 0 0 0
"17" 1 0 0 1
"18" 1 1 1 1
"19" 1 1 1 1
"20" 1 0 0 1
"21" 1 1 0 0
"22" 1 1 1 0
"23" 1 1 0 1
"24" 1 1 1 1
"25" 1 1 1 0
"26" 1 0 0 1
"27" 1 1 0 1
"28" 1 1 1 1
"29" 1 1 1 0
"30" 1 1 0 0
"31" 1 0 0 0
"32" 1 1 0 1
"33" 1 1 1 0
"34" 1 1 1 0
"35" 1 0 0 0
"36" 1 1 1 1
"37" 1 1 1 0
"38" 1 1 0 0
"39" 1 0 0 0
"40" 1 0 0 1
"41" 1 0 0 1
"42" 1 1 1 1
"43" 1 1 1 0
"44" 1 1 1 1
"45" 1 1 1 1
"46" 1 0 0 0
"47" 1 0 0 0
"48" 1 1 0 0
"49" 1 1 1 1
"50" 1 1 0 1
"51" 1 1 1 1
"52" 1 0 0 0
"53" 1 0 0 0
"54" 1 0 0 0
"55" 1 1 0 0
"56" 1 1 1 0
"57" 1 1 0 0
"58" 1 1 1 0
"59" 1 0 0 0
"60" 1 1 1 1
"61" 1 0 0 0
"62" 1 1 1 0
"63" 1 0 0 0
"64" 1 1 1 0
"65" 1 1 0 0
"66" 1 1 1 0
"67" 1 1 1 1
"68" 1 1 1 0
"69" 1 1 0 1
"70" 1 1 1 0
"71" 1 0 0 0
"72" 1 0 0 1
"73" 1 1 1 1
"74" 1 1 1 0
"75" 1 0 0 0
"76" 1 0 0 0
"77" 1 1 1 1
"78" 1 0 0 1
"79" 1 1 1 1
"80" 1 1 1 0
"81" 1 0 0 0
"82" 1 0 0 0
"83" 1 1 1 0
"84" 1 1 1 0
"85" 1 0 0 1
"86" 1 1 1 1
"87" 1 1 0 0
"88" 1 1 0 0
"89" 1 1 1 0
"90" 1 0 0 0
"91" 1 1 1 0
"92" 1 1 0 0
"93" 1 1 1 0
"94" 1 1 0 0
"95" 1 1 0 0
"96" 1 1 1 0
"97" 1 0 0 1
"98" 1 1 1 1
"99" 1 1 1 1
"100" 1 1 1 1
"101" 1 1 0 1
"102" 1 0 0 1
"103" 1 1 1 1
"104" 1 1 1 1
"105" 1 1 1 1
"106" 1 0 1 1
"107" 1 0 0 0
"108" 1 1 1 0
"109" 1 1 1 1
"110" 1 1 0 0
"111" 1 0 0 1
"112" 1 1 1 0
"113" 1 1 1 0
"114" 1 1 1 0
"115" 1 0 0 0
"116" 1 0 0 0
"117" 1 1 1 0
"118" 1 1 1 1
"119" 1 0 0 0
"120" 1 1 0 0
"121" 1 1 0 1
"122" 1 1 1 0
"123" 1 1 1 1
"124" 1 1 0 1
"125" 1 1 1 1
"126" 1 0 0 0
"127" 1 0 0 0
"128" 1 1 1 0
"129" 1 0 0 0
"130" 1 1 1 1
"131" 1 1 1 1
"132" 1 1 1 1
"133" 1 0 0 1
"134" 1 1 0 1
"135" 1 1 1 1
"136" 1 0 0 1
"137" 1 1 0 1
"138" 1 1 1 0
"139" 1 0 0 0
"140" 1 1 1 0
"141" 1 1 0 1
"142" 1 1 1 1
"143" 1 0 0 1
"144" 1 1 0 1
"145" 1 1 1 1
"146" 1 1 0 1
"147" 1 1 1 1
"148" 1 0 0 0
"149" 1 0 0 0
"150" 1 1 1 0
"151" 1 0 0 0
"152" 1 1 0 1
"153" 1 1 0 0
"154" 1 1 1 1
"155" 1 0 0 0
"156" 1 1 1 0
"157" 1 0 0 0
"158" 1 0 0 0
"159" 1 0 0 0
"160" 1 1 1 1
"161" 1 1 1 1
"162" 1 1 1 0
"163" 1 0 0 0
"164" 1 1 1 0
"165" 1 1 0 1
"166" 1 1 0 0
"167" 1 0 0 1
"168" 1 1 1 0
"169" 1 0 1 1
"170" 1 1 0 0
"171" 1 0 0 0
"172" 1 0 0 0
"173" 1 0 0 1
"174" 1 0 0 1
"175" 1 0 0 0
"176" 1 1 1 0
"177" 1 1 0 0
"178" 1 1 1 0
"179" 1 0 0 0
"180" 1 1 1 0
"181" 1 1 1 0
"182" 1 1 1 1
"183" 1 1 0 1
"184" 1 0 0 1
"185" 1 0 0 0
"186" 1 1 1 1
"187" 1 1 1 0
"188" 1 1 1 0
"189" 1 0 0 0
"190" 1 1 1 0
"191" 1 0 0 0
"192" 1 1 1 1
"193" 1 1 1 0
"194" 1 0 0 0
"195" 1 1 1 0
"196" 1 1 0 1
"197" 1 0 0 0
"198" 1 1 1 0
"199" 1 1 1 1
"200" 1 0 0 1
"201" 1 0 0 0
"202" 1 1 0 0
"203" 1 0 0 1
"204" 1 1 1 1
"205" 1 0 0 0
"206" 1 0 0 1
"207" 1 1 1 1
"208" 1 1 1 1
"209" 1 1 0 1
"210" 1 0 0 0
"211" 1 0 0 0
"212" 1 0 0 1
"213" 1 1 1 1
"214" 1 1 1 1
"215" 1 0 0 1
"216" 1 1 1 0
"217" 1 0 0 0
"218" 1 1 1 1
"219" 1 1 0 1
"220" 1 1 1 1
"221" 1 0 0 1
"222" 1 0 0 1
"223" 1 0 0 0
"224" 1 0 0 0
"225" 1 0 0 0
"226" 1 0 0 0
"227" 1 1 1 0
"228" 1 0 0 1
"229" 1 1 1 1
"230" 1 1 1 0
"231" 1 1 0 0
"232" 1 0 0 0
"233" 1 1 1 1
"234" 1 0 0 0
"235" 1 1 0 0
"236" 1 0 0 1
"237" 1 0 0 1
"238" 1 1 1 0
"239" 1 0 0 0
"240" 1 1 0 0
"241" 1 0 0 0
"242" 1 1 1 1
"243" 1 0 0 1
"244" 1 0 0 1
"245" 1 1 1 0
"246" 1 0 0 1
"247" 1 1 1 1
"248" 1 0 0 0
"249" 1 1 0 1
"250" 1 1 1 1
"251" 1 1 1 1
"252" 1 0 0 1
"253" 1 1 1 1
"254" 1 1 0 0
"255" 1 1 1 1
"256" 1 1 0 0
"257" 1 1 1 1
"258" 1 1 1 1
"259" 1 1 0 0
"260" 1 1 1 0
"261" 1 1 0 0
"262" 1 0 0 0
"263" 1 1 1 0
"264" 1 1 0 1
"265" 1 1 0 0
"266" 1 0 0 0
"267" 1 0 0 1
"268" 1 0 0 0
"269" 1 0 0 0
"270" 1 1 1 0
"271" 1 1 0 0
"272" 1 1 1 0
"273" 1 1 0 1
"274" 1 1 0 1
"275" 1 1 1 1
"276" 1 0 0 1
"277" 1 1 1 1
"278" 1 1 0 1
"279" 1 0 0 0
"280" 1 1 0 1
"281" 1 1 1 1
"282" 1 1 1 1
"283" 1 0 0 1
"284" 1 0 0 0
"285" 1 0 1 0
"286" 1 0 0 0
"287" 1 1 1 0
"288" 1 1 1 0
"289" 1 0 0 0
"290" 1 1 1 0
"291" 1 1 0 0
"292" 1 1 1 0
"293" 1 0 0 1
"294" 1 1 0 1
"295" 1 1 1 1
